"ID de la incidencia","Proyecto","Etiquetas","Resumen","Notificador","Creada","Actualizada","Resuelta","Prioridad","Tipo","Estado","Usuario asignado","Estimación","Tiempo empleado","Sprints","Ideal days","Original estimation","Story points","Descripción","Votos"
"TDI-92","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","organizacion con taller 4","admin","27 ago 2025 01:37","24 sept 2025 04:22","24 sept 2025 04:22","Normal","Tarea","Hecho","admin","300","750","Sprint 1",,,,,"0"
"TDI-77","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar vista semanal y mensual en el calendario.","admin","27 ago 2025 01:22","22 sept 2025 23:04","22 sept 2025 04:08","Normal","Tarea","Hecho","Jmonsalvez2020","90","90","Sprint 1",,,,,"0"
"TDI-76","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Permitir cambio de fecha de tarea arrastrándola en el calendario.","admin","27 ago 2025 01:21","22 sept 2025 23:03","22 sept 2025 04:08","Normal","Tarea","Hecho","Jmonsalvez2020","120","120","Sprint 1",,,,,"0"
"TDI-87","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar cambio rápido de proyecto (menú desplegable). mobile","admin","27 ago 2025 01:30","22 sept 2025 15:40","22 sept 2025 15:40","Normal","Tarea","Hecho","amonsalve2022","90","60","Sprint 1",,,,,"0"
"TDI-88","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar ordenamiento de proyectos (por fecha, nombre, actividad). mobile","admin","27 ago 2025 01:31","22 sept 2025 15:40","22 sept 2025 15:40","Normal","Tarea","Hecho","amonsalve2022","90","60","Sprint 1",,,,,"0"
"TDI-31","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar modo claro/oscuro.","admin","27 ago 2025 00:42","22 sept 2025 14:44","22 sept 2025 14:44","Normal","Tarea","Hecho","Leo","90","90","Sprint 1",,,,,"0"
"TDI-26","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar menú inferior para navegación.","admin","27 ago 2025 00:39","22 sept 2025 14:43","22 sept 2025 14:43","Normal","Tarea","Hecho","Leo","30","160","Sprint 1",,,,,"0"
"TDI-22","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar pantalla principal con proyectos activos.","admin","27 ago 2025 00:38","22 sept 2025 13:56",,"Normal","Tarea","En curso","Leo","60","60","Sprint 1",,,,,"0"
"TDI-75","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Sincronizar calendario con fechas de vencimiento de tareas.","admin","27 ago 2025 01:21","22 sept 2025 03:38","22 sept 2025 03:38","Normal","Tarea","Hecho","Jmonsalvez2020","30","60","Sprint 1",,,,,"0"
"TDI-51","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 4","Implementar en el detalle de tarea el ver estado de tarea (pendiente, en progreso, completada, archivada). mobile","admin","27 ago 2025 00:59","20 sept 2025 15:52",,"Normal","Tarea","Abierto","amonsalve2022","30",,"Sprint 1",,,,"* tambien Implementar cambio de estado.","0"
"TDI-90","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Implementar endpoint para clonar proyecto (duplicar estructura).","admin","27 ago 2025 01:32","19 sept 2025 15:18","19 sept 2025 15:17","Normal","Tarea","Hecho","amonsalve2022","120","30","Sprint 1",,,,,"0"
"TDI-18","Taller de Integración 4","Marcar con estrella,Sprint 1 - Semana 2,Sprint 1 - Semana 3,Sprint 1 - Semana 4","Definir tema global (colores, fuentes).","admin","27 ago 2025 00:36","19 sept 2025 02:58","17 sept 2025 22:47","Normal","Tarea","Hecho","Leo","15","260","Sprint 1",,,,,"0"
